Predictions,True Labels
12.107673,6.3
23.661789,27.5
7.0908713,7.6
12.656342,8.0
5.532591,5.2
22.239231,24.3
11.902438,8.7
14.024163,10.2
10.622007,6.3
24.511765,28.7
17.304646,20.1
15.757405,7.9
17.393951,19.4
17.335457,19.6
16.79377,16.2
15.054281,15.8
8.688086,9.0
17.155838,25.9
18.557545,13.6
11.666305,17.6
10.95326,10.9
16.934814,25.8
19.167652,14.5
10.047136,14.9
22.238056,27.7
12.644304,13.7
12.513607,6.9
17.678036,13.9
21.200624,24.8
11.671826,6.7
18.266075,17.1
19.028412,23.2
19.663994,26.4
7.2881355,0.3
13.594297,22.6
12.017383,15.1
11.529564,14.8
10.068927,8.6
15.6079235,23.5
20.20418,21.1
19.364386,22.9
13.899404,11.6
12.843786,13.3
14.495895,10.5
13.3687,8.9
15.838374,17.7
13.10234,11.0
21.696655,17.4
15.113405,19.1
21.63506,21.0
6.7679386,8.8
13.551578,20.7
20.850498,25.1
21.285023,16.9
6.9079227,6.2
18.35347,15.6
11.220062,17.5
16.104553,9.5
24.48111,29.6
16.852291,20.7
9.637558,12.2
16.711266,20.6
13.70523,12.2
14.504812,11.7
21.709488,26.2
12.523876,4.8
22.691513,21.6
8.69924,7.2
14.5681,15.9
6.063121,5.1
17.30814,19.4
16.080715,15.8
6.244708,9.5
8.489002,10.1
17.414684,22.0
12.566847,14.9
13.88513,17.9
19.796108,19.1
12.329044,11.3
10.003215,10.6
6.9817343,5.0
12.986614,15.7
9.864275,9.2
5.307931,4.1
8.939514,11.3
19.364386,20.9
8.305803,6.2
10.664938,12.4
20.93732,22.0
12.580246,20.2
8.21124,13.1
11.707743,9.1
15.872873,13.2
17.126167,12.6
9.559193,10.3
13.857758,15.4
11.159938,6.9
14.778579,10.1
22.739357,16.9
16.824451,18.7
16.378826,15.6
12.947864,19.8
14.096998,11.9
9.735384,13.9
15.023859,13.1
15.589097,15.6
9.800172,15.7
13.664564,20.9
10.653811,8.6
16.12849,9.9
19.046951,20.6
14.558025,7.8
15.816531,18.9
8.847797,4.7
22.639297,18.7
14.089383,21.4
17.572529,16.5
20.236643,23.2
19.06672,17.0
11.902438,14.0
11.4426565,10.0
18.157562,11.8
24.20763,22.3
14.576422,18.4
23.66927,17.5
9.775577,7.2
8.539408,7.8
19.520824,22.3
15.102216,9.1
14.317282,11.2
20.15817,26.0
12.522228,12.4
13.979556,10.4
8.604536,7.6
12.057336,8.6
20.330513,16.7
5.487213,7.6
18.150719,16.7
14.778732,15.4
14.462768,16.5
17.495337,14.6
7.001628,6.6
10.378895,9.1
9.9117,10.3
19.468452,21.9
13.957838,17.3
21.917692,26.3
10.79541,9.6
9.435176,8.8
22.30859,19.2
22.850853,27.7
9.607464,8.0
7.4337173,7.3
9.910148,12.0
17.819532,16.9
16.013191,15.6
22.413269,21.4
11.401775,14.9
21.48052,25.6
14.3081665,20.5
16.184309,16.990631
15.358179,19.7
7.189969,3.2
5.665124,6.1
19.172134,24.8
5.437768,7.4
17.874563,23.9
11.857375,10.2
16.570398,19.3
11.836541,8.8
11.368255,8.2
16.95682,23.7
20.116394,21.7
14.111808,12.5
19.938766,23.1
20.025742,24.2
19.74672,14.7
17.698963,21.2
9.864275,11.7
12.4634495,10.3
9.541829,6.7
15.606562,11.1
14.2803955,19.0
22.070187,23.1
6.208359,2.9
20.677197,24.3
10.271745,15.6
22.581879,22.8
16.074627,18.2
15.968451,23.0
5.926262,6.5
8.922361,3.4
6.9817343,7.1
20.482756,17.9
9.85958,10.8
13.689058,9.7
19.145615,25.7
15.545887,13.7
11.649205,7.6
18.231674,21.5
10.899299,10.4
13.280391,15.4
17.698963,11.8
6.7207775,7.6
18.490864,18.7
9.573015,6.7
13.640858,13.2
19.4931,17.7
21.368284,14.7
21.226208,23.4
13.968399,9.4
6.295179,3.6
13.077829,13.2
19.666658,23.5
13.998159,14.6
17.029926,22.4
20.46313,20.5
11.576473,8.8
7.97445,9.1
10.250223,17.0
19.064646,20.1
6.0231724,4.0
9.447733,7.5
20.940374,25.6
13.559172,12.2
14.996151,9.7
21.373867,19.9
12.259068,9.3
12.465527,11.2
11.527983,6.0
10.107672,14.2
23.97818,28.4
13.117626,16.6
13.714758,11.5
11.669257,16.0
12.4946785,12.4
9.991974,16.7
16.642979,19.3
7.7560816,4.1
16.170147,14.8
17.025894,25.2
11.121786,7.6
16.169838,17.1
13.166111,20.1
19.209179,19.8
12.418303,8.3
10.777824,10.4
6.477269,5.3
15.177809,11.2
8.626896,11.7
16.609127,11.3
17.14782,16.3
12.173515,10.7
11.412974,10.9
12.580246,17.0
20.113752,18.1
19.258078,18.6
12.565411,11.0
21.104855,24.2
8.422662,2.4
14.430497,11.9
15.185043,13.4
8.438035,5.8
14.686514,9.5
14.846712,13.1
12.438374,18.9
17.84145,18.4
21.347511,22.6
11.791667,8.2
13.571154,17.4
10.523991,7.8
11.396874,4.1
14.289687,20.8
23.80304,27.2
24.61482,28.3
21.757637,23.3
5.876367,4.5
11.703043,7.2
7.9229703,9.4
12.258802,21.9
23.564474,20.5
10.149031,6.5
7.5789804,6.6
11.827591,8.9
7.9089155,2.6
19.757101,16.8
12.90369,11.2
15.950789,12.5
20.131159,24.2
21.405033,23.8
6.208359,3.6
12.185547,17.5
14.397364,13.5
22.7267,22.8
17.004045,22.4
13.846424,22.3
21.080708,24.3
22.28191,20.7
6.749565,6.1
6.106887,8.0
14.363702,9.5
10.308058,6.4
8.42314,11.6
12.374054,8.6
20.420795,23.3
17.278866,23.8
10.311966,7.4
27.259995,33.7
7.4555826,8.6
12.548628,14.6
14.032214,15.8
7.604437,4.7
20.698936,22.0
22.511051,15.3
9.438733,5.3
20.179268,20.2
12.478733,17.7
14.047428,9.8
13.2618265,12.5
13.995297,10.6
18.824356,21.8
7.3357134,4.8
9.74133,9.4
23.973251,23.2
14.603904,22.3
11.860533,19.1
5.105174,6.4
10.329378,9.8
21.698477,16.1
16.89077,14.4
6.4306865,6.7
13.649025,22.1
16.779766,15.8
15.169734,6.7
12.393023,10.8
17.468529,14.3
22.888977,25.1
13.569436,20.0
21.461369,20.1
23.174194,24.1
21.864796,19.8
18.291107,13.3
11.105329,8.7
5.77983,6.6
10.754212,14.4
15.892809,12.9
9.134153,3.9
12.207266,15.3
24.836624,19.1
10.633461,8.8
16.769196,19.5
15.577018,14.8
7.3879194,4.3
7.3169484,11.3
22.879139,27.2
19.514574,23.8
16.139614,16.0
18.501587,13.7
18.622654,20.3
12.515311,19.8
7.308877,7.3
19.080996,20.7
12.513607,11.2
24.68682,19.5
23.066721,23.8
16.997116,18.3
9.761233,8.0
11.824751,11.9
8.620966,10.6
13.77612,13.7
10.949309,10.1
17.264967,19.0
